country,people
Argentina,11
Australia,27
Austria,4
Belarus,3
Belgium,8
Bermuda,1
Brazil,18
Canada,62
Chile,3
China,1
Colombia,10
Costa Rica,2
Croatia,1
Cuba,1
Denmark,3
Dominican Republic,1
Ecuador,1
Egypt,1
El Salvador,1
England,10
Estonia,1
Europe,1
Finland,9
France,26
Georgia,1
Germany,38
Greece,2
Hong Kong,3
Hungary,4
Iceland,1
India,43
Indonesia,3
Ireland,6
Israel,3
Italy,15
italy,15
Japan,7
Kenya,5
Kuwait,1
Lebanon,1
Luxembourg,3
Madagascar,1
Malaysia,2
Mexico,28
Netherlands,12
New Zealand,6
Nigeria,2
Norway,7
Pakistan,1
Panama,1
Peru,1
Philippines,1
Poland,6
Portugal,4
Qatar,1
Romania,1
Russia,7
Saudi Arabia,2
Scotland,7
Serbia,2
Singapore,5
Slovenia,1
South Africa,7
Spain,29
Sweden,7
Switzerland,8
Taiwan,1
Tanzania,2
Thailand,1
Tunisia,1
Turkey,5
Uganda,2
United Kingdom,99
Uruguay,1
USA,670
Usa,670
Venezuela,1
Vietnam,2
